Name,Email,Address,City,State,Zip Code,Country,Age,Gender,T-Shirt Size,Favorite Color
Robert Moses,sosastephanie@example.net,"19802 Raymond Pines Apt. 580
Michaelbury, AR 83665",Davidberg,DC,74579,Western Sahara,50,Male,XL,SkyBlue
Joshua Schmitt,juan61@example.org,"456 Sydney Groves
Gordonburgh, MS 11563",Brittanyborough,WA,76426,Nepal,23,Female,XXL,Plum
Kimberly Gilmore,pweber@example.com,"82075 Mitchell Turnpike Suite 376
Garciamouth, WV 51624",South Heidifort,MS,95106,British Indian Ocean Territory (Chagos Archipelago),59,Female,S,LightCoral
William Mcdaniel,washingtoncheryl@example.net,"4899 Deleon Forges Suite 716
Port Terriborough, NV 70835",Port Donna,MA,86032,Djibouti,69,Female,S,Tan
Benjamin Taylor,sandra43@example.net,"530 Margaret Vista Suite 672
New Joelburgh, PW 76352",Colonfort,MH,68484,Malaysia,51,Male,XL,Violet
Marcus Collins MD,steven28@example.com,"07316 Ashley Curve
Lake Robert, AK 33648",East Mary,UT,88904,Hungary,46,Female,XXL,MediumSpringGreen
Amy Raymond,erinbyrd@example.com,"0376 Morris Light Apt. 842
Allenberg, AR 51070",Port Lisafurt,AZ,32862,Namibia,25,Male,XL,Chocolate
Chad Flores,psnyder@example.com,"69099 Joseph Row
Michaelhaven, IL 09147",East Angelafort,UT,02338,Cook Islands,29,Female,XS,Ivory
Joseph Walls,patrickburton@example.org,"PSC 5432, Box 4434
APO AE 04191",West Nataliefort,NJ,57528,Georgia,67,Male,L,WhiteSmoke
Cynthia Johnson,jenniferphillips@example.org,"81598 Andrea Mall Suite 425
Charlesmouth, DE 72597",Tammymouth,MP,99304,Russian Federation,45,Male,XS,Orchid
Erik Webb,milesdennis@example.net,"3730 Knox Field Apt. 372
South Christina, UT 89011",Carlosstad,NM,13586,Belarus,26,Male,XXL,MediumBlue
William Richardson,michaelmonroe@example.com,"1441 Adam Flat
Ashleestad, NV 21596",Ericmouth,PR,52896,Argentina,37,Female,XL,Lavender
Scott Walker,nathan78@example.com,"14998 Jackson Falls Apt. 560
New Sabrina, MN 78458",Rachelfurt,FM,82982,Gibraltar,37,Male,XXL,BlanchedAlmond
Stacey Woods,tbell@example.org,"990 Jennifer Radial
New Christopherton, MO 93888",Port Jason,MP,54893,Maldives,47,Male,L,Purple
Zachary Porter,zbell@example.org,"PSC 7870, Box 1037
APO AA 63893",Gardnerchester,UT,81976,Philippines,28,Male,L,DodgerBlue
Gabriel Lewis,nicolecooke@example.com,"470 Terry Place
Nelsonberg, VA 48970",Barbarafurt,MO,06018,Tuvalu,36,Female,XS,Fuchsia
Shaun Holland,tevans@example.com,"177 Anthony Squares
Birdside, MT 77009",Lake Leah,AZ,32367,Sudan,63,Female,L,DarkSlateGray
Jennifer Fisher,jason30@example.net,"4036 Hartman Walks Suite 468
Port Michelleside, WV 44219",Armstrongburgh,WI,14309,Hong Kong,56,Female,XL,HotPink
